ID	LABEL	SubClass Of	ID	LABEL	SubClass Of
MOP:0000779	formation of covalent bond	molecular process			
MOP:0000780	breaking of covalent bond	molecular process			
MOP:0000781	catalysis	is_catalysis_of some 'molecular process', molecular process			
MOP:0000782	general acid catalysis	Brønsted acid catalysis			
MOP:0000783	specific acid catalysis	general acid catalysis			
MOP:0000784	general base catalysis	Brønsted base catalysis			
MOP:0000785	specific base catalysis	general base catalysis			
MOP:0000786	radical formation	'has participant beginning to exist' some radical, molecular process			
MOP:0000787	transesterification	alcoholysis			
MOP:0000788	phosphorolysis	breaking of covalent bond			
MOP:0000789	isomerisation	molecular process			
MOP:0000790	substitution reaction	molecular process	MOP:0000790	substitution reaction	molecular process
MOP:0000791	aromatic substitution	substitution reaction	MOP:0000791	aromatic substitution	substitution reaction
MOP:0000792	allylic rearrangement	substitution reaction	MOP:0000792	allylic rearrangement	substitution reaction
MOP:0000793	N-substitution	substitution reaction	MOP:0000793	N-substitution	substitution reaction
MOP:0000794	O-substitution	substitution reaction	MOP:0000794	O-substitution	substitution reaction
MOP:0000795	S-substitution	substitution reaction	MOP:0000795	S-substitution	substitution reaction
MOP:0000796	chloro- to hydroxy- aromatic substitution	aromatic substitution			
MOP:0000797	coordination	formation of covalent bond			
MOP:0000798	formation of covalent bond with sulfur centre	formation of covalent bond with group			
MOP:0000799	formation of covalent bond with chlorine centre	formation of covalent bond with halogen centre			
MOP:0000800	formation of covalent bond with carbon centre	formation of covalent bond with group			
MOP:0000801	formation of covalent bond with boron centre	formation of covalent bond with group			
MOP:0000802	formation of covalent bond with nitrogen centre	formation of covalent bond with group	MOP:0000802	formation of covalent bond with nitrogen centre	formation of covalent bond with group
MOP:0000803	formation of covalent bond with oxygen centre	formation of covalent bond with group			
MOP:0000804	formation of covalent bond with selenium centre	formation of covalent bond with group			
MOP:0000805	formation of covalent bond with tellurium centre	formation of covalent bond with group			
MOP:0000806	formation of covalent bond with phosphorus centre	formation of covalent bond with group			
MOP:0000807	formation of covalent bond with arsenic centre	formation of covalent bond with group			
MOP:0000808	formation of covalent bond with antimony centre	formation of covalent bond with group			
MOP:0000809	formation of covalent bond with germanium centre	formation of covalent bond with group			
MOP:0000810	formation of covalent bond with silicon centre	formation of covalent bond with group			
MOP:0000811	formation of covalent bond with aluminium centre	formation of covalent bond with group			
MOP:0000812	formation of covalent bond with tin centre	formation of covalent bond with group			
MOP:0000813	formation of covalent bond with lead centre	formation of covalent bond with group			
MOP:0000814	formation of covalent bond with gallium centre	formation of covalent bond with group			
MOP:0000815	formation of covalent bond with indium centre	formation of covalent bond with group			
MOP:0000816	formation of covalent bond with thallium centre	formation of covalent bond with group			
MOP:0000817	formation of covalent bond with bromine centre	formation of covalent bond with halogen centre			
MOP:0000818	formation of covalent bond with iodine centre	formation of covalent bond with halogen centre			
MOP:0000819	formation of covalent bond with fluorine centre	formation of covalent bond with group			
MOP:0000820	formation of covalent bond with halogen centre	formation of covalent bond with group			
MOP:0000821	metal nitrosylation	coordination			
MOP:0000822	iron nitrosylation	metal nitrosylation			
MOP:0000823	propargylation	alkynylation			
MOP:0000824	alkynylation	hydrocarbylation			
			MOP:0000825	dealcoholative condensation	condensation reaction
			MOP:0000826	dienophilicity	disposition
MOP:0001000	deborylation	breaking of covalent bond with group			
MOP:0001001	demethanidylation	dehydrocarbylation			
MOP:0001002	deazaniumylation	breaking of covalent bond with group			
MOP:0001003	deformylation	deunivalent carboacylation			
MOP:0001004	deacetonylation	breaking of covalent bond with group			
MOP:0001005	de-L-cystylation	decystylation			
MOP:0001006	de-L-cystinylation	decystinylation			
MOP:0001007	de-D-cystylation	decystylation			
MOP:0001008	decystinylation	de-alpha-aminoacylation			
MOP:0001009	decystylation	dedivalent carboacylation			
MOP:0001010	decysteinylation	de-alpha-aminoacylation			
MOP:0001011	de-L-cysteinylation	decysteinylation			
MOP:0001012	de-D-cysteinylation	decysteinylation			
MOP:0001013	decystein-S-ylation	breaking of covalent bond with group			
MOP:0001014	de-D-cystein-S-ylation	decystein-S-ylation			
MOP:0001015	de-L-cystein-S-ylation	decystein-S-ylation			
MOP:0001016	demethionylation	de-alpha-aminoacylation			
MOP:0001017	de-L-methionylation	demethionylation			
MOP:0001018	de-N-formyl-L-methionylation	breaking of covalent bond with group			
MOP:0001019	de-D-methionylation	demethionylation			
MOP:0001020	de-(R)-lipoylation	delipoylation			
MOP:0001021	de-(S)-lipoylation	delipoylation			
MOP:0001022	delipoylation	deunivalent carboacylation			
MOP:0001023	de-(R)-dihydrolipoylation	dedihydrolipoylation			
MOP:0001024	de-(S)-dihydrolipoylation	dedihydrolipoylation			
MOP:0001025	de-alpha-sialoylation	deunivalent carboacylation			
MOP:0001026	de-beta-sialoylation	deunivalent carboacylation			
MOP:0001027	deglyceroylation	breaking of covalent bond with group			
MOP:0001028	decarboacylation	deacylation			
MOP:0001029	deunivalent carboacylation	decarboacylation			
MOP:0001030	deacetylation	deunivalent carboacylation			
MOP:0001031	de-alpha-aminoacylation	deunivalent carboacylation			
MOP:0001032	dealanylation	de-alpha-aminoacylation			
MOP:0001033	de-L-alanylation	dealanylation			
MOP:0001034	de-D-alanylation	dealanylation			
MOP:0001035	de-alpha-aspartylation	de-alpha-aminoacylation			
MOP:0001036	de-L-alpha-aspartylation	de-alpha-aspartylation			
MOP:0001037	de-D-alpha-aspartylation	de-alpha-aspartylation			
MOP:0001038	de-alpha-glutamylation	de-alpha-aminoacylation			
MOP:0001039	de-L-alpha-glutamylation	de-alpha-glutamylation			
MOP:0001040	de-D-alpha-glutamylation	de-alpha-glutamylation			
MOP:0001041	depteroylglutamylation	de-alpha-aminoacylation			
MOP:0001042	dephenylalanylation	de-alpha-aminoacylation			
MOP:0001043	de-L-phenylalanylation	dephenylalanylation			
MOP:0001044	de-D-phenylalanylation	dephenylalanylation			
MOP:0001045	deglycylation	de-alpha-aminoacylation			
MOP:0001046	dehistidylation	de-alpha-aminoacylation			
MOP:0001047	de-L-histidylation	dehistidylation			
MOP:0001048	de-D-histidylation	dehistidylation			
MOP:0001049	deisoleucylation	de-alpha-aminoacylation			
MOP:0001050	de-L-isoleucylation	deisoleucylation			
MOP:0001051	de-D-isoleucylation	deisoleucylation			
MOP:0001052	delysylation	de-alpha-aminoacylation			
MOP:0001053	de-L-lysylation	delysylation			
MOP:0001054	dedeoxyhypusinylation	breaking of covalent bond with group			
MOP:0001055	de-D-lysylation	delysylation			
MOP:0001056	deleucylation	de-alpha-aminoacylation			
MOP:0001057	de-L-leucylation	deleucylation			
MOP:0001058	de-D-leucylation	deleucylation			
MOP:0001059	deasparaginylation	de-alpha-aminoacylation			
MOP:0001060	de-L-asparaginylation	deasparaginylation			
MOP:0001061	de-D-asparaginylation	deasparaginylation			
MOP:0001062	deprolylation	de-alpha-aminoacylation			
MOP:0001063	de-L-prolylation	deprolylation			
MOP:0001064	de-D-prolylation	deprolylation			
MOP:0001065	deglutaminylation	de-alpha-aminoacylation			
MOP:0001066	de-L-glutaminylation	deglutaminylation			
MOP:0001067	de-D-glutaminylation	deglutaminylation			
MOP:0001068	deserylation	de-alpha-aminoacylation			
MOP:0001069	de-L-serylation	deserylation			
MOP:0001070	de-D-serylation	deserylation			
MOP:0001071	dethreonylation	de-alpha-aminoacylation			
MOP:0001072	de-L-threonylation	dethreonylation			
MOP:0001073	de-D-threonylation	dethreonylation			
MOP:0001074	deselenocysteinylation	de-alpha-aminoacylation			
MOP:0001075	de-L-selenocysteinylation	deselenocysteinylation			
MOP:0001076	de-D-selenocysteinylation	deselenocysteinylation			
MOP:0001077	devalylation	de-alpha-aminoacylation			
MOP:0001078	de-L-valylation	devalylation			
MOP:0001079	de-D-valylation	devalylation			
MOP:0001080	detryptophylation	de-alpha-aminoacylation			
MOP:0001081	de-L-tryptophylation	detryptophylation			
MOP:0001082	de-D-tryptophylation	detryptophylation			
MOP:0001083	detyrosylation	de-alpha-aminoacylation			
MOP:0001084	de-L-tyrosylation	detyrosylation			
MOP:0001085	de-D-tyrosylation	detyrosylation			
MOP:0001086	dearginylation	de-alpha-aminoacylation			
MOP:0001087	de-L-arginylation	dearginylation			
MOP:0001088	de-D-arginylation	dearginylation			
MOP:0001089	debenzoylation	deunivalent carboacylation			
MOP:0001090	de-beta-aspartylation	deunivalent carboacylation			
MOP:0001091	de-D-beta-aspartylation	de-beta-aspartylation			
MOP:0001092	de-L-beta-aspartylation	de-beta-aspartylation			
MOP:0001093	debiotinylation	deunivalent carboacylation			
MOP:0001094	debutyrylation	deunivalent carboacylation			
MOP:0001095	decarbamoylation	deunivalent carboacylation			
MOP:0001096	de-C-aminocarbonohydrazonoylation	deorganoheterylation			
MOP:0001097	de-2-(aminomethylidene)hydrazinylation	deorganoheterylation			
MOP:0001098	decarbamoylcarbamoylation	deorganoheterylation			
MOP:0001099	decarbamothioylation	deorganoheterylation			
MOP:0001100	deacetylazanediylation	breaking of covalent bond with group			
MOP:0001101	deoxamoylation	deorganoheterylation			
MOP:0001102	decholylation	deunivalent carboacylation			
MOP:0001103	deenoylation	deunivalent carboacylation			
MOP:0001104	defatty-acylation	deunivalent carboacylation			
MOP:0001105	dearachidonoylation	defatty-acylation			
MOP:0001106	dearachidoylation	defatty-acylation			
MOP:0001107	debehenoylation	defatty-acylation			
MOP:0001108	decerotoylation	defatty-acylation			
MOP:0001109	dedecanoylation	defatty-acylation			
MOP:0001110	dedodecenoylation	defatty-acylation			
MOP:0001111	deeleostearoylation	defatty-acylation			
MOP:0001112	demycolylation	defatty-acylation			
MOP:0001113	denervonoylation	defatty-acylation			
MOP:0001114	deoctanoylation	defatty-acylation			
MOP:0001115	depalmitoleoylation	defatty-acylation			
MOP:0001116	depalmitoylation	defatty-acylation			
MOP:0001117	destearoylation	defatty-acylation			
MOP:0001118	deundecanoylation	defatty-acylation			
MOP:0001119	devalerylation	defatty-acylation			
MOP:0001120	dehexanoylation	defatty-acylation			
MOP:0001121	deheptanoylation	defatty-acylation			
MOP:0001122	denonanoylation	defatty-acylation			
MOP:0001123	delauroylation	defatty-acylation			
MOP:0001124	demyristoylation	defatty-acylation			
MOP:0001125	dedocosenoylation	defatty-acylation			
MOP:0001126	decetoleoylation	dedocosenoylation			
MOP:0001127	deerucoylation	dedocosenoylation			
MOP:0001128	deicosenoylation	defatty-acylation			
MOP:0001129	degadelaidoylation	deicosenoylation			
MOP:0001130	degadoleoylation	deicosenoylation			
MOP:0001131	degondoylation	deicosenoylation			
MOP:0001132	deheptatrienoylation	defatty-acylation			
MOP:0001133	de-trans,trans-hepta-2,4,6-trienoylation	deheptatrienoylation			
MOP:0001134	deoctadecenoylation	defatty-acylation			
MOP:0001135	deoctadec-6-enoylation	deoctadecenoylation			
MOP:0001136	depetroselaidoylation	deoctadec-6-enoylation			
MOP:0001137	depetroselinoylation	deoctadec-6-enoylation			
MOP:0001138	devaccenoylation	deoctadecenoylation			
MOP:0001139	de-cis-vaccenoylation	devaccenoylation			
MOP:0001140	de-trans-vaccenoylation	devaccenoylation			
MOP:0001141	deoctadec-9-enoylation	deoctadecenoylation			
MOP:0001142	deoleoylation	deoctadec-9-enoylation			
MOP:0001143	deelaidoylation	deoctadec-9-enoylation			
MOP:0001144	demargaroylation	defatty-acylation			
MOP:0001145	demelissoylation	defatty-acylation			
MOP:0001146	demyristoleoylation	defatty-acylation			
MOP:0001147	deobtusiloylation	defatty-acylation			
MOP:0001148	delignoceroylation	defatty-acylation			
MOP:0001149	delinoleoylation	defatty-acylation			
MOP:0001150	deparinaroylation	defatty-acylation			
MOP:0001151	de-cis-parinaroylation	deparinaroylation			
MOP:0001152	de-trans-parinaroylation	deparinaroylation			
MOP:0001153	de-gamma-glutamylation	deunivalent carboacylation			
MOP:0001154	de-L-gamma-glutamylation	de-gamma-glutamylation			
MOP:0001155	de-D-gamma-glutamylation	de-gamma-glutamylation			
MOP:0001156	deglucuronosylation	deunivalent carboacylation			
MOP:0001157	de-D-glucuronoylation	deunivalent carboacylation			
MOP:0001158	deglyceroyl 2,3-dihydroxypropanoylation	deunivalent carboacylation			
MOP:0001159	deglycerylation	deunivalent carboacylation			
MOP:0001160	deglycidoyl 2,3-epoxypropanoylation	deunivalent carboacylation			
MOP:0001161	deglycoloylation	deunivalent carboacylation			
MOP:0001162	deglycosylation	deunivalent carboacylation			
MOP:0001163	degalactosylation	deglycosylation			
MOP:0001164	de-beta-D-galactosylation	degalactosylation			
MOP:0001165	de-alpha-L-fucosyl-1,2-beta-D-galactosylation	de-beta-D-galactosylation			
MOP:0001166	de-alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation	de-beta-D-galactosylation			
MOP:0001167	de-alpha-N-acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation	de-beta-D-galactosylation			
MOP:0001168					
MOP:0001169	deglucosylation	deglycosylation			
MOP:0001170	de-D-galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylation	deglucosylation			
MOP:0001171	de-D-galactosyl-1,4beta-D-glucosylation	deglucosylation			
MOP:0001172					
MOP:0001173	de-alpha-glucosylation	deglucosylation			
MOP:0001174	de-beta-glucosylation	deglucosylation			
MOP:0001175	de-D-galactosyl-(1->4)-beta-D-glucosylation	deglucosylation			
MOP:0001176	deglycosaminylation	deglycosylation			
MOP:0001177	degalactosaminylation	deglycosaminylation			
MOP:0001178	de-N-acetyl-D-galactosaminylation	degalactosaminylation			
MOP:0001179	de-alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-(alpha-N-acetylneuraminyl-2,6)-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001180	de-alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001181	de-alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001182	de-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001183	de-beta-D-galactosyl-1,3-(N-acetyl-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001184	de-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001185	de-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001186	de-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001187	de-N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001188	de-N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminylation	de-N-acetyl-D-galactosaminylation			
MOP:0001189	deglucosaminylation	deglycosaminylation			
MOP:0001190	de-N-acetyl-D-glucosaminylation	deglucosaminylation			
MOP:0001191	de-1,3-beta-D-galactosyl-(1,4-alpha-L-fucosyl)-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001192	de-3-O-beta-D-galactosyl-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001193	de-1,4-beta-D-galactosyl-(1,3-alpha-L-fucosyl)-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001194	de-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001195	de-alpha-D-galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001196	de-alpha-D-galactosyl-beta-1,3-D-galactosyl-beta-1,4-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001197	de-beta-D-galactosyl-(1,4)-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001198	de-N-acetyl-beta-D-glucosaminyl-1,2-(N-acetyl-beta-D-glucosaminyl-1,6)-1,2-alpha-D-mannosyl-1,3(6)-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6(3))-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001199	de-N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3(6)-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl,1,6(3))-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001200	de-N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001201	de-N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001202	de-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001203	de-N-acetyl-beta-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	de-N-acetyl-D-glucosaminylation			
MOP:0001204	deiduronosylation	deglycosylation			
MOP:0001205	de-5'-inosinylation	deglycosylation			
MOP:0001206	demannosylation	deglycosylation			
MOP:0001207	de-(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosylation	demannosylation			
MOP:0001208	de-alpha-D-mannosyl-1,3-(r1)-beta-D-mannosylation	demannosylation			
MOP:0001209					
MOP:0001210	de-alpha-mannosylation	demannosylation			
MOP:0001211	de-N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-beta-D-mannosylation	demannosylation			
MOP:0001212	de-N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosylation	demannosylation			
MOP:0001213	de-N-acetyl-beta-D-glucosaminyl-1,4-(N-acetyl-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosylation	demannosylation			
MOP:0001214	de-N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-beta-D-mannosylation	demannosylation			
MOP:0001215	de-N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-(N-acetyl-beta-D-glucosaminyl-1,4)-D-mannosylation	demannosylation			
MOP:0001216	de-alpha-D-mannosyl-(1->3)-beta-D-mannosylation	demannosylation			
MOP:0001217	deneuraminosylation	deglycosylation			
MOP:0001218	deneuraminoylation	deglycosylation			
MOP:0001219	deribosylation	deglycosylation			
MOP:0001220	deadenosinediphosphoribosylation	deribosylation			
MOP:0001221					
MOP:0001222	de-2-deoxyribosylation	deribosylation			
MOP:0001223	desialosylation	deglycosylation			
MOP:0001224	dehemicystylation	deunivalent carboacylation			
MOP:0001225	demevalonoylation	deunivalent carboacylation			
MOP:0001226	demontanoylation	deunivalent carboacylation			
MOP:0001227	demuramylation	deunivalent carboacylation			
MOP:0001228	denucleotidylation	deunivalent carboacylation			
MOP:0001229	de-5'-adenylylation	denucleotidylation			
MOP:0001230	de-5'-cytidylylation	denucleotidylation			
MOP:0001231	de-5'-thymidylylation	denucleotidylation			
MOP:0001232	de-5'-uridylylation	denucleotidylation			
MOP:0001233	de-5'-guanylylation	denucleotidylation			
MOP:0001234	de-5'-ribothymidylylation	denucleotidylation			
MOP:0001235	de-5'-inosinylylation	denucleotidylation			
MOP:0001236	depantothenylation	deunivalent carboacylation			
MOP:0001237	depantoylation	deunivalent carboacylation			
MOP:0001238	depeptidylation	deunivalent carboacylation			
MOP:0001239	dephthalylation	deunivalent carboacylation			
MOP:0001240	depropionylation	deunivalent carboacylation			
MOP:0001241	depyruvoylation	deunivalent carboacylation			
MOP:0001242	deretinoylation	deunivalent carboacylation			
MOP:0001243	desialoylation	deunivalent carboacylation			
MOP:0001244	de-3-carboxypropanoylation	deunivalent carboacylation			
MOP:0001245	detrienoylation	deunivalent carboacylation			
MOP:0001246	deanilinocarbonylation	deunivalent carboacylation			
MOP:0001247	depteroylation	deunivalent carboacylation			
MOP:0001248	de-3-carboxyprop-2-enoylation	deunivalent carboacylation			
MOP:0001249	de-(Z)-3-carboxyprop-2-enoylation	de-3-carboxyprop-2-enoylation			
MOP:0001250	de-(E)-3-carboxyprop-2-enoylation	de-3-carboxyprop-2-enoylation			
MOP:0001251	de-2,6-dichlorobenzoylation	deunivalent carboacylation			
MOP:0001252	de-alpha-muramylation	deunivalent carboacylation			
MOP:0001253	de-beta-muramylation	deunivalent carboacylation			
MOP:0001254	dedihydrolipoylation	deunivalent carboacylation			
MOP:0001255	desinapoylation	deunivalent carboacylation			
MOP:0001256	decarboxyacetylation	deunivalent carboacylation			
MOP:0001257	dedivalent carboacylation	decarboacylation			
MOP:0001258	deaspartoylation	dedivalent carboacylation			
MOP:0001259	de-L-aspartoylation	deaspartoylation			
MOP:0001260	de-D-aspartoylation	deaspartoylation			
MOP:0001261	decitraconoylation	dedivalent carboacylation			
MOP:0001262	deglutamoylation	dedivalent carboacylation			
MOP:0001263	de-D-glutamoylation	deglutamoylation			
MOP:0001264	de-L-glutamoylation	deglutamoylation			
MOP:0001265	demaloylation	dedivalent carboacylation			
MOP:0001266	dephthaloylation	dedivalent carboacylation			
MOP:0001267	desuccinylation	dedivalent carboacylation			
MOP:0001268	debutenedioylation	dedivalent carboacylation			
MOP:0001269	defumaroylation	debutenedioylation			
MOP:0001270	demaleoylation	debutenedioylation			
MOP:0001271	dehexanedioylation	dedivalent carboacylation			
MOP:0001272	demalonylation	dedivalent carboacylation			
MOP:0001273	deornithylation	breaking of covalent bond with group			
MOP:0001274	de-L-ornithylation	deornithylation			
MOP:0001275	dehalf-cystylation	breaking of covalent bond with group			
MOP:0001276	de-L-tyrosin-O(4)-ylation	detyrosin-O(4)-ylation			
MOP:0001277	de-L-threonin-O(3)-ylation	dethreonin-O(3)-ylation			
MOP:0001278	de-D-tyrosin-O(4)-ylation	detyrosin-O(4)-ylation			
MOP:0001279	de-D-threonin-O(3)-ylation	dethreonin-O(3)-ylation			
MOP:0001280	detyrosin-O(4)-ylation	breaking of covalent bond with group			
MOP:0001281	dethreonin-O(3)-ylation	breaking of covalent bond with group			
MOP:0001282	deoxalylation	breaking of covalent bond with group			
MOP:0001283	defumagillin-2-ylation	deorganylation			
MOP:0001284	deacetoacetylation	breaking of covalent bond with group			
MOP:0001285	de-alpha-linolenoylation	breaking of covalent bond with group			
MOP:0001286	de-gamma-linolenoylation	breaking of covalent bond with group			
MOP:0001287	decarbamimidoylation	breaking of covalent bond with group			
MOP:0001288	deformimidoylation	breaking of covalent bond with group			
MOP:0001289	detrifluoroacetylation	breaking of covalent bond with group			
MOP:0001290	decarboxymethylation	breaking of covalent bond with group			
MOP:0001291	demethylenecarbonylation	breaking of covalent bond with group			
MOP:0001292	de-N-hydroxyacetimidoylation	breaking of covalent bond with group			
MOP:0001293	deacryloylation	breaking of covalent bond with group			
MOP:0001294	de-tert-butoxycarbonylation	deorganylation			
MOP:0001295	desulfanediylation	breaking of covalent bond with group			
MOP:0001296	dephenylsulfanylation	deorganoheterylation			
MOP:0001297	demethylsulfanylation	deorganoheterylation			
MOP:0001298	desulfaniumylation	breaking of covalent bond with group			
MOP:0001299	dedisulfanidylation	breaking of covalent bond with group			
MOP:0001300	dedisulfanediylation	breaking of covalent bond with group			
MOP:0001301	dedisulfanylation	breaking of covalent bond with group			
MOP:0001302	detetrasulfanylation	breaking of covalent bond with group			
MOP:0001303	detetrasulfanediylation	breaking of covalent bond with group			
MOP:0001304	detrisulfanylation	breaking of covalent bond with group			
MOP:0001305	detrisulfanediylation	breaking of covalent bond with group			
MOP:0001306	depentasulfanylation	breaking of covalent bond with group			
MOP:0001307	dediselanylation	breaking of covalent bond with group			
MOP:0001308	detellanylation	breaking of covalent bond with group			
MOP:0001309	detellanediylation	breaking of covalent bond with group			
MOP:0001310	detellaniumylation	breaking of covalent bond with group			
MOP:0001311	deditellanylation	breaking of covalent bond with group			
MOP:0001312	deamidylation	breaking of covalent bond with group			
MOP:0001313	deazanediylation	breaking of covalent bond with group			
MOP:0001314	de-2-aminoethylation	breaking of covalent bond with group			
MOP:0001315	de-4-aminobutylation	breaking of covalent bond with group			
MOP:0001316	deazanetriylation	breaking of covalent bond with group			
MOP:0001317	dehydrazine-1,2-diylation	breaking of covalent bond with group			
MOP:0001318	dediazyn-1-ium-1-ylation	breaking of covalent bond with group			
MOP:0001319	dephosphanetriylation	breaking of covalent bond with group			
MOP:0001320	dephosphanediylation	breaking of covalent bond with group			
MOP:0001321	dephosphanylation	breaking of covalent bond with group			
MOP:0001322	delambda(5)-phosphanylation	breaking of covalent bond with group			
MOP:0001323	dephosphaniumylation	breaking of covalent bond with group			
MOP:0001324	dearsanylation	breaking of covalent bond with group			
MOP:0001325	dearsanediylation	breaking of covalent bond with group			
MOP:0001326	dearsanetriylation	breaking of covalent bond with group			
MOP:0001327	dearsaniumylation	breaking of covalent bond with group			
MOP:0001328	delambda(5)-arsanylation	breaking of covalent bond with group			
MOP:0001329	destibaniumylation	breaking of covalent bond with group			
MOP:0001330	delambda(5)-stibanylation	breaking of covalent bond with group			
MOP:0001331	deboranylation	breaking of covalent bond with group			
MOP:0001332	deboranetriylation	breaking of covalent bond with group			
MOP:0001333	deboranediylation	breaking of covalent bond with group			
MOP:0001334	deboranuidylation	breaking of covalent bond with group			
MOP:0001335	degermylation	breaking of covalent bond with group			
MOP:0001336	degermanediylation	breaking of covalent bond with group			
MOP:0001337	degermanetetraylation	breaking of covalent bond with group			
MOP:0001338	degermanetriylation	breaking of covalent bond with group			
MOP:0001339	desilylation	breaking of covalent bond with group			
MOP:0001340	desilanediylation	breaking of covalent bond with group			
MOP:0001341	desilanetriylation	breaking of covalent bond with group			
MOP:0001342	desilanetetraylation	breaking of covalent bond with group			
MOP:0001343	dedisilanylation	breaking of covalent bond with group			
MOP:0001344	dealumanylation	breaking of covalent bond with group			
MOP:0001345	destannylation	breaking of covalent bond with group			
MOP:0001346	destannanetriylation	breaking of covalent bond with group			
MOP:0001347	deplumbanetriylation	breaking of covalent bond with group			
MOP:0001348	deplumbylation	breaking of covalent bond with group			
MOP:0001349	degallanylation	breaking of covalent bond with group			
MOP:0001350	deindiganylation	breaking of covalent bond with group			
MOP:0001351	dethallanylation	breaking of covalent bond with group			
MOP:0001352	dephosphatidylation	breaking of covalent bond with group			
MOP:0001353	denucleosidylation	deorganylation			
MOP:0001354	deguanosylation	denucleosidylation			
MOP:0001355	deinosylation	denucleosidylation			
MOP:0001356	dethymidylation	denucleosidylation			
MOP:0001357	deadenosylation	denucleosidylation			
MOP:0001358	de-5'-adenosylation	deadenosylation			
