ID	LABEL	SubClass Of	ID	LABEL	SubClass Of
MOP:0000121	heptanoylation	fatty-acylation			
MOP:0000122	nonanoylation	fatty-acylation			
MOP:0000123	lauroylation	fatty-acylation			
MOP:0000124	myristoylation	fatty-acylation			
MOP:0000125	docosenoylation	fatty-acylation			
MOP:0000126	cetoleoylation	docosenoylation			
MOP:0000127	erucoylation	docosenoylation			
MOP:0000128	icosenoylation	fatty-acylation			
MOP:0000129	gadelaidoylation	icosenoylation			
MOP:0000130	gadoleoylation	icosenoylation			
MOP:0000131	gondoylation	icosenoylation			
MOP:0000132	heptatrienoylation	fatty-acylation			
MOP:0000133	trans,trans-hepta-2,4,6-trienoylation	heptatrienoylation			
MOP:0000134	octadecenoylation	fatty-acylation			
MOP:0000135	octadec-6-enoylation	octadecenoylation			
MOP:0000136	petroselaidoylation	octadec-6-enoylation			
MOP:0000137	petroselinoylation	octadec-6-enoylation			
MOP:0000138	vaccenoylation	octadecenoylation			
MOP:0000139	cis-vaccenoylation	vaccenoylation			
MOP:0000140	trans-vaccenoylation	vaccenoylation			
MOP:0000141	octadec-9-enoylation	octadecenoylation			
MOP:0000142	oleoylation	octadec-9-enoylation			
MOP:0000143	elaidoylation	octadec-9-enoylation			
MOP:0000144	margaroylation	fatty-acylation			
MOP:0000145	melissoylation	fatty-acylation			
MOP:0000146	myristoleoylation	fatty-acylation			
MOP:0000147	obtusiloylation	fatty-acylation			
MOP:0000148	lignoceroylation	fatty-acylation			
MOP:0000149	linoleoylation	fatty-acylation			
MOP:0000150	parinaroylation	fatty-acylation			
MOP:0000151	cis-parinaroylation	parinaroylation			
MOP:0000152	trans-parinaroylation	parinaroylation			
MOP:0000153	gamma-glutamylation	univalent carboacylation			
MOP:0000154	L-gamma-glutamylation	gamma-glutamylation			
MOP:0000155	D-gamma-glutamylation	gamma-glutamylation			
MOP:0000156	glucuronosylation	univalent carboacylation			
MOP:0000157	D-glucuronoylation	univalent carboacylation			
MOP:0000158	glyceroyl 2,3-dihydroxypropanoylation	univalent carboacylation			
MOP:0000159	glycerylation	univalent carboacylation			
MOP:0000160	glycidoyl 2,3-epoxypropanoylation	univalent carboacylation			
MOP:0000161	glycoloylation	univalent carboacylation			
MOP:0000162	glycosylation	univalent carboacylation			
MOP:0000163	galactosylation	glycosylation			
MOP:0000164	beta-D-galactosylation	galactosylation			
MOP:0000165	alpha-L-fucosyl-1,2-beta-D-galactosylation	beta-D-galactosylation			
MOP:0000166	alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation	beta-D-galactosylation			
MOP:0000167	alpha-N-acetylneuraminyl-2,8-alpha-N-acetylneuraminyl-2,3-beta-D-galactosylation	beta-D-galactosylation			
MOP:0000168					
MOP:0000169	glucosylation	glycosylation			
MOP:0000170	D-galactosyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylation	glycosylation			
MOP:0000171	D-galactosyl-1,4beta-D-glucosylation	glycosylation			
MOP:0000172					
MOP:0000173	alpha-glucosylation	glucosylation			
MOP:0000174	beta-glucosylation	glucosylation			
MOP:0000175	D-galactosyl-(1->4)-beta-D-glucosylation	glucosylation			
MOP:0000176	glycosaminylation	glycosylation			
MOP:0000177	galactosaminylation	glycosaminylation			
MOP:0000178	N-acetyl-D-galactosaminylation	galactosaminylation			
MOP:0000179	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-(alpha-N-acetylneuraminyl-2,6)-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000180	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000181	alpha-N-acetylneuraminyl-2,3-beta-D-galactosyl-1,3-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000182	beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000183	beta-D-galactosyl-1,3-(N-acetyl-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000184	beta-D-galactosyl-1,3-N-acetyl-alpha-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000185	beta-D-galactosyl-1,3-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000186	N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000187	N-acetyl-beta-D-glucosaminyl-1,3-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000188	N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminylation	N-acetyl-D-galactosaminylation			
MOP:0000189	glucosaminylation	glycosaminylation			
MOP:0000190	N-acetyl-D-glucosaminylation	glucosaminylation			
MOP:0000191	1,3-beta-D-galactosyl-(1,4-alpha-L-fucosyl)-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000192	3-O-beta-D-galactosyl-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000193	1,4-beta-D-galactosyl-(1,3-alpha-L-fucosyl)-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000194	beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000195	alpha-D-galactosyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000196	alpha-D-galactosyl-beta-1,3-D-galactosyl-beta-1,4-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000197	beta-D-galactosyl-(1,4)-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000198	N-acetyl-beta-D-glucosaminyl-1,2-(N-acetyl-beta-D-glucosaminyl-1,6)-1,2-alpha-D-mannosyl-1,3(6)-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6(3))-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000199	N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3(6)-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl,1,6(3))-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000200	N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-(N-acetyl-beta-D-glucosaminyl-1,4)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000201	N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosyl-1,4-N-acetyl-beta-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000202	N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000203	N-acetyl-beta-D-glucosaminyl-1,6-beta-D-galactosyl-1,4-N-acetyl-D-glucosaminylation	N-acetyl-D-glucosaminylation			
MOP:0000204	iduronosylation	glycosylation			
MOP:0000205	5'-inosinylation	glycosylation			
MOP:0000206	mannosylation	glycosylation			
MOP:0000207	(N-acetyl-beta-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosylation	mannosylation			
MOP:0000208	alpha-D-mannosyl-1,3-(r1)-beta-D-mannosylation	mannosylation			
MOP:0000209					
MOP:0000210	alpha-mannosylation	mannosylation			
MOP:0000211	N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3-beta-D-mannosylation	mannosylation			
MOP:0000212	N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2-alpha-D-mannosyl-1,3)-beta-D-mannosylation	mannosylation			
MOP:0000213	N-acetyl-beta-D-glucosaminyl-1,4-(N-acetyl-D-glucosaminyl-1,2)-alpha-D-mannosyl-1,3-(beta-N-acetyl-D-glucosaminyl-1,2-alpha-D-mannosyl-1,6)-beta-D-mannosylation	mannosylation			
MOP:0000214	N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-beta-D-mannosylation	mannosylation			
MOP:0000215	N-acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,2)-(N-acetyl-beta-D-glucosaminyl-1,4)-D-mannosylation	mannosylation			
MOP:0000216	alpha-D-mannosyl-(1->3)-beta-D-mannosylation	mannosylation			
MOP:0000217	neuraminosylation	glycosylation			
MOP:0000218	neuraminoylation	glycosylation			
MOP:0000219	ribosylation	glycosylation			
MOP:0000220	adenosinediphosphoribosylation	ribosylation			
MOP:0000221					
MOP:0000222	2-deoxyribosylation	ribosylation			
MOP:0000223	sialosylation	glycosylation			
MOP:0000224	hemicystylation	univalent carboacylation			
MOP:0000225	mevalonoylation	univalent carboacylation			
MOP:0000226	montanoylation	univalent carboacylation			
MOP:0000227	muramylation	univalent carboacylation			
MOP:0000228	nucleotidylation	univalent carboacylation			
MOP:0000229	5'-adenylylation	nucleotidylation			
MOP:0000230	5'-cytidylylation	nucleotidylation			
MOP:0000231	5'-thymidylylation	nucleotidylation			
MOP:0000232	5'-uridylylation	nucleotidylation			
MOP:0000233	5'-guanylylation	nucleotidylation			
MOP:0000234	5'-ribothymidylylation	nucleotidylation			
MOP:0000235	5'-inosinylylation	nucleotidylation			
MOP:0000236	pantothenylation	univalent carboacylation			
MOP:0000237	pantoylation	univalent carboacylation			
MOP:0000238	peptidylation	univalent carboacylation			
MOP:0000239	phthalylation	univalent carboacylation			
MOP:0000240	propionylation	univalent carboacylation			
MOP:0000241	pyruvoylation	univalent carboacylation			
MOP:0000242	retinoylation	univalent carboacylation			
MOP:0000243	sialoylation	univalent carboacylation			
MOP:0000244	3-carboxypropanoylation	univalent carboacylation			
MOP:0000245	trienoylation	univalent carboacylation			
MOP:0000246	anilinocarbonylation	univalent carboacylation			
MOP:0000247	pteroylation	univalent carboacylation			
MOP:0000248	3-carboxyprop-2-enoylation	univalent carboacylation			
MOP:0000249	(Z)-3-carboxyprop-2-enoylation	3-carboxyprop-2-enoylation			
MOP:0000250	(E)-3-carboxyprop-2-enoylation	3-carboxyprop-2-enoylation			
MOP:0000251	2,6-dichlorobenzoylation	univalent carboacylation			
MOP:0000252	alpha-muramylation	univalent carboacylation			
MOP:0000253	beta-muramylation	univalent carboacylation			
MOP:0000254	dihydrolipoylation	univalent carboacylation			
MOP:0000255	sinapoylation	univalent carboacylation			
MOP:0000256	carboxyacetylation	univalent carboacylation			
MOP:0000257	divalent carboacylation	carboacylation			
MOP:0000258	aspartoylation	divalent carboacylation			
MOP:0000259	L-aspartoylation	aspartoylation			
MOP:0000260	D-aspartoylation	aspartoylation			
MOP:0000261	citraconoylation	divalent carboacylation			
MOP:0000262	glutamoylation	divalent carboacylation			
MOP:0000263	D-glutamoylation	glutamoylation			
MOP:0000264	L-glutamoylation	glutamoylation			
MOP:0000265	maloylation	divalent carboacylation			
MOP:0000266	phthaloylation	divalent carboacylation			
MOP:0000267	succinylation	divalent carboacylation			
MOP:0000268	butenedioylation	divalent carboacylation			
MOP:0000269	fumaroylation	butenedioylation			
MOP:0000270	maleoylation	butenedioylation			
MOP:0000271	hexanedioylation	divalent carboacylation			
MOP:0000272	malonylation	divalent carboacylation			
MOP:0000273	ornithylation	univalent carboacylation			
MOP:0000274	L-ornithylation	ornithylation			
MOP:0000275	half-cystylation	formation of covalent bond with carbon centre			
MOP:0000276	L-tyrosin-O(4)-ylation	tyrosin-O(4)-ylation			
MOP:0000277	L-threonin-O(3)-ylation	threonin-O(3)-ylation			
